codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
4301-26-LE25;"Servicio de camión limpia fosas";"I MUNICIPALIDAD DE ZAPALLAR";"69.050.400-6";"IMUNI_ ZAPALLAR";"DIEGO SUTIL 285";"Zapallar";"Región de Valparaíso ";"LE";"La Ilustre Municipalidad de Zapallar, en adelante e indistintamente la “MUNICIPALIDAD” o el “MUNICIPIO”, llama a licitación pública por la vía de suministros, Servicio de camión limpia fosas para la comuna de Zapallar, la cual se regulará por las Bases Administrativas Generales aprobadas por Decreto de Alcaldía 1.562 y las presentes Bases Administrativas Especiales.";2025-03-28T11:31:01.743;2025-04-07T15:00:00;2025-04-18T18:00:00;67142500;"CLP";0;0
2445-27-LE25;"MANTENCION ANUAL DE AUTOCLAVES SP2293";"I MUNICIPALIDAD DE CURICO";"69.100.100-8";"Salud - Adquisiciones";"VILLA SANTA ELENA S/N LOS NICHES";"Curicó";"Región del Maule ";"LE";"MANTENCION ANUAL DE AUTOCLAVES PERTENECIENTES A CESFAM COLON, CESFAM BETTY MUÑOZ ARCE, CESFAM MIGUEL ANGEL ARENAS Y CARRO MOVIL DENTAL SP2293";2025-03-28T11:28:04.827;2025-04-07T15:15:00;2025-04-25T11:30:00;9618362;"CLP";0;0
2348-14-LE25;"ADQUISICION DE INSUMOS DE ASEO Y LIMPIEZA - MUNICIPALIDAD DE PUNTA ARENAS";"I MUNICIPALIDAD DE PUNTA ARENAS";"69.250.200-0";"Dirección de Administración y Finanzas";"Avda. Colón N° 1209.";"Punta Arenas";"Región de Magallanes y de la Antártica";"LE";"Adquisición de insumos de aseo y limpieza para abastecer a las unidades municipales";2025-03-28T11:23:59.86;2025-04-08T11:00:00;2025-04-14T17:00:00;7300000;"CLP";0;0
1350-7-H225;"SERVICIO DE CORRESPONDENCIA DIARIA ENTRE OFICINAS";"SERVICIO DE REGISTRO CIVIL E IDENTIFICACION";"61.002.013-5";"Dirección Regional VI Región, Lib.B. OHiggins";"Calle Cáceres # 189, 2do piso ";"Rancagua";"Región del Libertador General Bernardo O´Higgins";"H2";"El Servicio de Registro Civil e Identificación de la Región del Libertador General Bernardo O´Higgins, en adelante el SERVICIO, por medio del presente acto administrativo llama a Licitación Privada para la contratación del “SERVICIO DE CORRESPONDENCIA DIARIA ENTRE OFICINAS Y DIRECCIÓN REGIONAL DEL SERVICIO DE REGISTRO CIVIL E IDENTIFICACIÓN DE LA REGIÓN DEL LIBERTAD”. El objetivo de la presente licitación es contar con el servicio de correspondencia puerta a puerta, cuyo servicio estará descrito en las especificaciones técnicas para las siguientes oficinas: N°	Comuna	Dirección 1	CODEGUA	Avda. O’Higgins  376, Recinto Municipal 2	COINCO	Avda. Libertador Bernardo O’Higgins  265 3	COLTAUCO	Calle concejal Raúl Ascanio Marín  68 4	CHÉPICA	Manuel Montt  101 5	CHIMBARONGO	Javiera Carrera Esquina Blanco Encalada 6	DOÑIHUE	Doctor Sanhueza SN°, Recinto Municipal 7	GRANEROS	Salvador Gutiérrez  171 8	LA ESTRELLA	Bernardo O’Higgins SN° 9	LAS CABRAS	John Kennedy  376 10	LITUECHE	Avda. Obispo Larraín SN° Ex Biblioteca Municipal 11	LOLOL	Los Aromos  65 12	MACHALI	Arturo Prat  60 13	MALLOA	Avda. Bernardo O’Higgins 101 14	MARCHIGÜE	Libertad  490, Recinto Municipal 15	NANCAGUA	Diego de Almagro  490, Carretera I-90 16	NAVIDAD	Plaza General Bonilla  24, Recinto Municipal 17	OLIVAR	Calle La Unión  592, Gultro Olivar 18	PAREDONES	Avda. Dr. Moore  15 19	PERALILLO	Caupolicán  399 20	PEUMO	Carmen  33, Recinto Municipal 21	PICHIDEGUA	Avda. Independencia  525, Recinto Municipal 22	PICHILEMU	Calle José Joaquín Pérez  496 23	PUMANQUE	Luis Barahona  120, Recinto Municipal 24	PLACILLA	Oscar Gajardo  2250 25	QUINTA DE TILCOCO	Avda. Gabriel Castro  406 26	RANCAGUA	Cáceres  189, 1er piso 27	RENGO	Calle Urriola  50, 2do piso, Recinto Municipal 28	REQUÍNOA	Avda. El Abra  142-H, Población El Esfuerzo 29	SAN FCO. DE MOSTAZAL	Calle Luco  10 30	SAN FERNANDO	Calle Cardenal Caro  530, 2do piso 31	SAN VICENTE DE T.T.	Walker Martínez  134 32	SANTA CRUZ	Alberto Edward  415 33	SUBOFICINA HOSPITAL RANCAGUA	Alameda Bernardo O’Higgins  3095, Edificio Hospital Regional 34	SUBOFICINA MALL PLAZA AMÉRICA RANCAGUA	Centro Comercial Plaza América SPA-Avda. Einstein  290, 2do piso, Local 202 35	DIRECCIÓN REGIONAL	Calle Cáceres  189, 2do piso, Rancagua 36	EL MANZANO	Carretera H-66, Kms. 18 sn, Las Cabras  El servicio que se licita debe incluir todos los gastos asociados para su correcta ejecución, según se establece en las ESPECIFICACIONES TÉCNICAS, de las presentes bases de licitación Privada. Durante la vigencia del contrato, el cual corresponde a un periodo de 24 meses, o hasta el consumo de los recursos asignados disponibles, lo que ocurra primero, todo esto de acuerdo con la disponibilidad presupuestaria.  Este proceso se realizará a través del Sistema de Información de la Dirección Nacional de Compras y Contratación Pública [https:www.mercadopublico.cl], de acuerdo con lo establecido sobre la materia, en la Ley N°19.886, su Reglamento y Ley N°21.634, de 2023, todos del Ministerio de Hacienda, que regulan las condiciones, normas y políticas de uso del portal. Las Bases Administrativas y Especificaciones Técnicas, sus modificaciones, aclaraciones y otros documentos integrantes de las mismas están disponibles en forma gratuita en el Sistema de Información de Compras Públicas [https:www.mercadopublico.cl], no pudiendo cobrar por ellas a los interesados en participar en el proceso. El Servicio de Registro Civil e Identificación de la Región del Libertador General Bernardo O´Higgins, invita a los proveedores inscritos en [https:www.mercadopublico.cl] a participar en la presente Licitación Privada, y a suscribir un contrato por la contratación del “SERVICIO DE CORRESPONDENCIA DIARIA ENTRE OFICINAS Y DIRECCIÓN REGIONAL DEL SERVICIO DE REGISTRO CIVIL E IDENTIFICACIÓN DE LA REGIÓN DEL LIBERTAD”, según las especificaciones técnicas establecidas en las presentes bases de licitación.";2025-03-28T11:21:28.947;2025-04-07T20:00:00;2025-04-30T20:00:00;168000000;"CLP";0;0
5586-36-LE25;"JG Analizador elemental con principio de combustión rápida dinámica de la muestra seguida de una reducción transporte por una trampa opcional y una completa separación por GC y una detección de los productos por conductividad térmica";"UNIVERSIDAD DE LA FRONTERA";"87.912.900-1";"Universidad de la Frontera";"AVENIDA FRANCISCO SALAZAR 1145";"Temuco";"Región de la Araucanía ";"LE";"Analizador elemental con principio de combustión rápida dinámica de la muestra, seguida de una reducción, transporte por una trampa opcional y una completa separación por GC y una detección de los productos por conductividad térmica";2025-03-28T11:20:48.73;2025-04-07T15:30:00;2025-05-09T19:00:00;43200000;"CLP";0;0
2483-61-LP25;"JORNADAS DE AUTOCUIDADO PARA FUNCIONARIOS DEL DEPARTAMENTO DE SALUD Y SUS ESTABLECIMIENTOS  NUEVO LLAMADO";"I MUNICIPALIDAD DE QUILICURA";"69.071.300-4";"DEPARTAMENTO COMPRAS PÚBLICAS";"";"";"Región Metropolitana de Santiago";"LP";"JORNADAS DE AUTOCUIDADO PARA FUNCIONARIOS DEL DEPARTAMENTO DE SALUD Y SUS ESTABLECIMIENTOS , NUEVO LLAMADO";2025-03-28T11:20:29.757;2025-04-17T15:01:00;2025-05-30T18:00:00;;"CLP";0;0
1549-28-LQ25;"ADQ. INSUMOS PARA ANTIBIOGRAMAS CEPAS ATCC CON EQ";"SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE";"61.608.002-4";"Hospital San  José";"San José 1196";"Independencia";"Región Metropolitana de Santiago";"LQ";"ADQUISICIÓN DE INSUMOS PARA ANTIBIOGRAMAS, CEPAS ATCC Y KIT RÁPIDO PARA DIAGNÓSTICO DE LABORATORIO CLÍNICO, CON EL EQUIPAMIENTO NECESARIO PARA SU ADECUADO USO, PARA EL HOSPITAL SAN JOSÉ.";2025-03-28T11:19:28.047;2025-04-17T15:00:00;2025-06-16T17:00:00;300000000;"CLP";0;0
1201-10-LE25;"ADQUISICION VESTUARIO DEPORTIVO CEM 2025";"INSTITUTO NACIONAL DE DEPORTES DE CHILE";"61.107.000-4";"I.N.D. REGION XI";"Dussen N° 376";"Coyhaique";"Región Aysén del General Carlos Ibáñez del Campo";"LE";"La necesidad de contar con vestuario deportivo para las diversas actividades del Programa Crecer en Movimiento 2025, a ejecutar por el departamento de actividad física del Instituto Nacional De Deporte Región de Aysén. Componente Gastos Administrativos";2025-03-28T11:13:45.53;2025-04-11T15:30:00;2025-04-21T15:00:00;;"CLP";0;0
3187-14-LE25;"MANTEN. REPARACION SISTEMA CALEFACCIÓN FARO PEDRO";"DIRECCION DE ABASTECIMIENTO DE LA ARMADA";"61.102.041-4";"GOBERNACION MARITIMA DE PUNTA ARENAS";"LIBERTADOR GENERAL BERNARDO O´HIGGI";"Punta Arenas";"Región de Magallanes y de la Antártica";"LE";"Efectuar mantenimiento y reparación del sistema de calefacción de la Radio Estación Marítima San Pedro, según lo indicado en Especificaciones Técnicas adjuntas.";2025-03-28T11:13:13.427;2025-04-07T20:00:00;2025-05-08T20:00:00;11300000;"CLP";0;0
4968-18-LP25;"SERVICIO DE TOMOGRAFÍA AXIAL COMPUTADA TAC Y LA ENTREGA DE INFORME";"HOSPITAL DE QUILPUE";"61.606.604-8";"HOSPITAL DE QUILPUE";"SAN MARTÍN 1270 - QUILPUÉ";"Quilpué";"Región de Valparaíso ";"LP";"SERVICIO DE TOMOGRAFÍA AXIAL COMPUTADA (TAC) Y LA ENTREGA DE INFORME";2025-03-28T11:09:35.263;2025-04-17T16:00:00;2025-06-25T17:00:00;340000000;"CLP";0;0
3231-89-L125;"SERVICIO PROFESIONAL PARA LA ELABORACION DE PLAN  DE GESTION DE LA CASA DE LA CULTURA, COMUNA DE PELLUHUE, SEGUN BASES TECNICAS Y ADMINSISTRATIVAS SEGUN BASES TECNICAS Y ADMINISTRATIVAS";"I MUNICIPALIDAD DE PELLUHUE";"69.252.700-3";"Departamento de Administración y Finanzas";"PADRE SAMUEL JOFRE ROJAS 415";"Pelluhue";"Región del Maule ";"L1";"SERVICIO PROFESIONAL PARA LA ELABORACION DE PLAN  DE GESTION DE LA CASA DE LA CULTURA, COMUNA DE PELLUHUE, SEGUN BASES TECNICAS Y ADMINSISTRATIVAS SEGUN BASES TECNICAS Y ADMINISTRATIVAS.";2025-03-28T11:08:58.723;2025-04-04T09:36:00;2025-04-17T20:36:00;6000000;"CLP";0;0
3759-23-LE25;"MATERIALES ELÉCTRICOS PARA MANTENCIÓN DE LUMINARIA";"Ilustre Municipalidad de Yerbas Buenas";"69.130.400-0";"Ilustre Municipalidad de Yerbas Buenas";"Avda. Centenario 101";"Yerbas Buenas";"Región del Maule ";"LE";"Satisfacer la necesidad de la Ilustre Municipalidad de Yerbas Buenas, referido a la contratación conforme a folio 085. MATERIALES ELÉCTRICOS PARA MANTENCIÓN DE ALUMBRADO PÚBLICO DISTINTOS SECTORES.";2025-03-28T11:03:20.07;2025-04-02T17:15:00;2025-04-04T17:15:00;9300000;"CLP";0;0
1382-11-LE25;"Lic. 06-25 Suministro Insumos Dentales";"Consultorio Miraflores";"70.744.700-1";"Consultorio Miraflores";"Miraflores 1369";"Temuco";"Región de la Araucanía ";"LE";"El Consultorio Miraflores de Temuco requiere suscribir contratos de suministro para la adquisición de insumos dentales, a ser utilizados por la institución, los cuales se extenderán por el periodo total de 24 meses, a contar de la adjudicación del presente proceso licitatorio, con posibilidad de extensión de 6 meses.";2025-03-28T11:02:55.297;2025-04-07T15:00:00;2025-06-06T15:00:00;;"CLP";0;0
2455-29-LE25;"EQUIPAMIENTO COLEGIO BENJAMÍN FRANKLIN QN";"ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL";"69.071.000-5";"SECRETARIA COMUNAL DE PLANIFICACIÓN";"Av. Carrascal 4447, Quinta Normal";"Quinta Normal";"Región Metropolitana de Santiago";"LE";"El presente certamen licitatorio tiene por finalidad convocar a los interesados, para que presenten sus ofertas para la “EQUIPAMIENTO COLEGIO BENJAMÍN FRANKLIN, COMUNA DE QUINTA NORMAL”. Los bienes requeridos se encuentran descritos en las Especificaciones Técnicas de la presente propuesta.";2025-03-28T11:02:00.273;2025-04-04T09:00:00;2025-06-02T18:00:00;14232400;"CLP";0;0
1532-18-LE25;"SUMINISTRO DE GASES CLINICOS CON CILINDRO INCLUIDO";"CENTRO REFERENCIAL DE SALUD DR SALVADOR ALLENDE GOSSENS";"61.933.400-0";"Centro Referencia Salud Doctor Salvador Allende G.";"Teniente Cruz 800 - PUDAHUEL";"Pudahuel";"Región Metropolitana de Santiago";"LE";"Con el objeto de abastecer las unidades clínicas se requiere el servicio  de  suministro de gases en cilindro, más el arriendo de cilindros y la logística de estos últimos, considerando la entrega de cilindros con carga en el CRS-SAG según requerimiento y retiro de cilindros vacíos desde el mismo lugar.";2025-03-28T11:01:48.923;2025-04-07T17:33:00;2025-04-17T17:34:00;;"CLP";0;0
1057402-63-LP25;"FRESAS PARA ODONTOLOGÍA";"HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA";"61.607.901-8";"Bienes y Servicios";"";"";"Región de Magallanes y de la Antártica";"LP";"El propósito de la licitación es contar con contratos de suministro por la adquisición de “FRESAS PARA ODONTOLOGÍA ”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2025 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda.";2025-03-28T10:58:10.497;2025-04-17T15:00:00;2025-08-21T18:00:00;;"CLP";0;0
963423-3-LE25;"SUMINISTRO FERRETERÍA Y ASEO PARA ZB ARICA";"COMANDO DE APOYO A LA FUERZA";"61.980.850-9";"Zona de Bienestar Arica";"Avda. Santa María N° 2325";"Arica";"Región de Arica y Parinacota";"LE";"SUMINISTRO DE FERRETERIA Y ELEMENTOS DE ASEO PARA LAS DEPENDENCIAS DE LA ZONA DE BIENESTAR ARICA.";2025-03-28T10:57:19.09;2025-04-04T17:30:00;2025-04-14T17:30:00;40000000;"CLP";0;0
1020-28-LP25;"HH SOPORTE AVANZADO INFRAEST. PLAT. CLOUD AMAZON ";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"MOP Subsecretaría ";"";"";"Región Metropolitana de Santiago";"LP";"El objetivo de esta adquisición, es disponer de un Servicio de Soporte Avanzado en Infraestructura Plataformas Cloud Amazon Web Services AWS y CMS Wordpress sobre Linux a través de la contración de horas hombre de especialistas para garantizar su continuidad operacional de la infraestructura del MOP, cumplir con las Políticas de Seguridad de la Información del Ministerio de Obras Públicas, además, de entregar niveles de servicio SLA acordes con las necesidades del MOP y a las mejores prácticas de la industria.";2025-03-28T10:56:58.277;2025-04-17T15:00:00;2025-06-20T17:00:00;69992000;"CLP";0;0
1058085-70-LQ25;"CONVENIO SUMINISTRO DE RIFAXIMINA 200 MG COMPRIMIDO EN CASO DE NO DESPACHO DE CENABAST PARA EL HOSPITAL DEL SALVADOR";"SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR";"61.608.406-2";"Fármacos";"Avda. Salvador # 364";"Alhué";"Región Metropolitana de Santiago";"LQ";"Que, el Hospital del Salvador necesita contar con CONVENIO SUMINISTRO DE RIFAXIMINA 200 MG COMPRIMIDO EN CASO DE NO DESPACHO DE CENABAST PARA EL HOSPITAL DEL SALVADOR con la finalidad de satisfacer de manera adecuada y eficiente la labor asistencial durante un periodo de 36 meses.  Que, el hospital debe implementar “Medidas Complementarias”, para asegurar el abastecimiento de los medicamentos intermediados por CENABAST, ante los reiterados quiebres de stock e incumplimientos derivados de sus proveedores;  Que, por la cuantía determinada, la presente licitación se ubica en el tramo para contrataciones de aquellas iguales o superiores a 1.000 UTM e inferiores a 5.000 UTM, de conformidad al Artículo 36 del Reglamento de la Ley Nº19.886, en atención a que las terapias no pueden interrumpirse por los efectos adversos que generan.  Que hechas las consultas respectivas, la provisión de estos bienes o servicios no se encuentra disponible por Convenios Marcos ofrecidos en el Sistema de Información de la Dirección de Compras, www.mercadopublico.cl;  Que, esta compra esta vinculada al proyecto 1058085-3-PC25, correspondiente al plan anual de compras del año 2025.";2025-03-28T10:56:30.747;2025-04-17T16:00:00;2025-07-31T13:22:00;340000000;"CLP";0;0
