codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
2308-37-LR25;"CONTRATACIÓN DE SERVICIO COMPLEMENTARIO DE SALUD Y SEGURO DE VIDA";"I MUNICIPALIDAD DE OSORNO";"69.210.100-6";"SECRETARIA DE PLANIFICACION";"AVDA. JUAN MACKENNA N°851, Bodega Subsuelo";"Osorno";"Región de los Lagos";"LR";"Publicada";"La licitación consiste en la “Contratación de seguro complementario de salud y vida Servicio de Bienestar I.M.O. para funcionarios municipales y sus cargas familiares socios del Servicio de Bienestar de la Municipalidad de Osorno, por un periodo de 24 meses se deberá ejecutar conforme a los requerimientos establecidos en las presentes bases administrativas y especificaciones técnicas adjuntas";2025-04-09T11:24:46.29;2025-05-12T15:00:00;2025-06-10T16:00:00;;"CLF";0;0
1175-55-LP25;"53.25 SERV.ADMINISTRACIÓN Y CUIDADO CR MAKEWESSAS";"SERVICIO DE SALUD ARAUCANIA SUR";"61.607.400-8";"Dirección Servicio Salud Araucanía Sur";"MANUEL BULNES N° 590";"Temuco";"Región de la Araucanía";"LP";"Publicada";"El Servicio de Bienestar del Servicio de Salud Araucanía Sur dispone de un Centro Recreacional para sus socioas y cargas familiares, ubicado en pasaje Abel Parodi sector Makewe a 15 Kilómetros de Temuco.  Para el normal funcionamiento de este recinto se requiere contratar el servicio de ADMINISTRACION, CUIDADO Y MANTENCION CENTRO RECREACIONAL MAKEWE, BIENESTAR SSAS. El Servicio se contratará por 24 meses a contar del día siguiente de la publicación de la Resolución que aprueba el contrato. EL SERVICIO DEBERÁ ESTAR OPERATIVO EN UN PLAZO QUE NO PODRÁ SUPERAR LOS 5 DIAS CORRIDOS, CONTADO DESDE EL DIA HÁBIL SIGUIENTE DESDE LA PUBLICACIÓN DE LA RESOLUCIÓN QUE APRUEBA EL CONTRATO EN EL PORTAL MERCADOPUBLICO.CL. El servicio ofertado debe considerar contratar al personal necesario para cumplir las funciones que se detallan más adelante, requeridas para el correcto funcionamiento del Centro Recreacional administradora, cuidadora, guardia, auxiliares de servicio, salvavidas, técnico paramédico";2025-04-09T09:14:52.827;2025-05-02T15:30:00;2025-08-29T17:45:00;;"CLP";0;0
2080-186-LR25;"Sum. Sistemas tipo Ancla para Hombro y rodilla";"SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA";"61.602.138-9";"Hospital Regional Rancagua - HRR";"Avenida Salvador Allende Nº 350";"Rancagua";"Región del Libertador General Bernardo O´Higgins";"LR";"Publicada";"El objeto de esta Licitación es contar con una adecuada adquisición del Suministro Sistemas de Fijación Tipo Ancla para Hombro y Rodilla para el Hospital Dr. Franco Ravera Zunino, durante el curso del contrato.";2025-04-09T07:32:18.74;2025-05-09T15:00:00;2025-08-04T18:00:00;407603679;"CLP";0;0
2423-11-LQ25;"MEJ. NORMALIZ. ILUMIN. CANCHAS 5 Y6 AMADOR DONOSO";"I MUNICIPALIDAD DE PUENTE ALTO";"69.072.100-7";"SECPLAC";"Concha y Toro 1820";"Puente Alto";"Región Metropolitana de Santiago";"LQ";"Publicada";"Con la finalidad de contar con un servicio de iluminación eficiente y suministro de energía eléctrica continuo, estable y seguro para las Canchas 5 y 6 del Complejo Deportivo Amador de la comuna de Puente Alto  se hace necesario contratar trabajos que contemplan las especialidades de iluminación e instalaciones eléctricas para realizar las instalaciones eléctricas y la provisión.";2025-04-09T20:51:36.337;2025-05-05T15:00:00;2025-07-30T19:00:00;200000000;"CLP";0;0
1979-88-LQ25;"71.25 denominada “SERVICIO DE MANTENCION PREVENTIVA Y CORRECTIVA DE CUBIERTAS Y HOJALATERIA PARA NODO COSTERO: HOSPITAL NUEVA IMPERIAL”.";"SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL";"61.607.401-6";"Hospital Nueva Imperial";"Castellón # 0115";"Nueva Imperial";"Región de la Araucanía";"LQ";"Publicada";"Se requiere licitar en el marco del mantenimiento de infraestructura del Hospital de Nueva Imperial, la realización de la Mantención Preventiva y Correctiva La infraestructura descrita en las presentes bases  donde la mantención preventiva deberá tener una frecuencia anual según tabla y la mantención correctiva se deberá realizar toda vez que la infraestructura quede fuera de servicio, sin poder prestar la utilidad para lo cual fue adquirido  situación que el mandante informará de inmediato al adjudicatario, mediante una llamada telefónica y a través de un e-mail  a este tipo de comunicaciones se le denominarán  llamados de emergencia .";2025-04-09T18:38:25.05;2025-04-30T15:00:00;2025-06-30T17:00:00;;"CLP";0;0
1979-85-LQ25;"92.25 “SERVICIO MANTENCION PREVENTIVA Y CORRECTIVA PARA MAQUINAS DE ANESTESIA MONITORES MULTIPARAMETROS Y ARCO C NODO COSTERO: HOSPITAL NVA IMPERIAL.”";"SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL";"61.607.401-6";"Hospital Nueva Imperial";"Castellón # 0115";"Nueva Imperial";"Región de la Araucanía";"LQ";"Publicada";"Se requiere licitar en el marco del mantenimiento de los equipos clínicos del Hospital de Nueva Imperial, la realización de la Mantención Preventiva y Correctiva al equipamiento descrito en las presentes bases  donde la mantención preventiva deberá tener una frecuencia según se describe en tabla de equipos y la mantención correctiva se deberá realizar toda vez que el equipo quede fuera de servicio, sin poder prestar la utilidad para lo cual fue adquirido  situación que el mandante informará de inmediato al adjudicatario, mediante una llamada telefónica y a través de un e-mail  a este tipo de comunicaciones se le denominarán  llamados de emergencia .";2025-04-09T18:35:13.833;2025-04-30T15:00:00;2025-06-30T17:00:00;;"CLP";0;0
1979-89-LP25;"88.25 “SERVICIO DE MANTENCION PREVENTIVA Y CORRECTIVA PARA EQUIPO DERMATOMO Y TORRE LAPAROSCOPICA 3D PARA NODO COSTERO: HOSPITAL DE NUEVA IMPERIAL.”";"SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL";"61.607.401-6";"Hospital Nueva Imperial";"Castellón # 0115";"Nueva Imperial";"Región de la Araucanía";"LP";"Publicada";"Se requiere licitar en el marco del mantenimiento de los equipos clínicos del Hospital de Nueva Imperial, la realización de la Mantención Preventiva y Correctiva al equipamiento descrito en las presentes bases  donde la mantención preventiva deberá tener una frecuencia según se describe en tabla de equipos y la mantención correctiva se deberá realizar toda vez que el equipo quede fuera de servicio, sin poder prestar la utilidad para lo cual fue adquirido  situación que el mandante informará de inmediato al adjudicatario, mediante una llamada telefónica y a través de un e-mail  a este tipo de comunicaciones se le denominarán  llamados de emergencia .";2025-04-09T18:44:02.737;2025-04-30T15:00:00;2025-06-30T14:30:00;;"CLP";0;0
2831-22-LQ25;"Serv. de Ap. y Mant. Ctas. Ctes. Municipalidad";"I MUNICIPALIDAD DE QUILLOTA";"69.060.100-1";"SECRETARIA COMUNAL DE PLANIFICACION";"Ariztía Nº 525. 2º Piso .Quillota.";"Quillota";"Región de Valparaíso";"LQ";"Publicada";"Regular el Llamado a Licitación Pública para contratar el “Servicio de Apertura y Mantención de Cuentas Corrientes de la Municipalidad de Quillota”, incluida la recaudación de Ingresos de la Municipalidad de Quillota, el Departamento de Salud y del Departamento de Educación, y que abarca todos los servicios relacionados con el Giro Bancario que se singularizan en los Términos Técnicos de Ref.";2025-04-09T17:47:28.05;2025-05-09T15:30:00;2025-05-13T17:30:00;;"CLP";0;0
1233-2-H225;"Servicio de aseo Aduana Metropolitana.";"SERVICIO NACIONAL DE ADUANAS";"60.804.010-2";"Dirección Regional Aduana Metropolitana";"Beaucheff N° 1525, santiago";"Santiago";"Región Metropolitana de Santiago";"H2";"Publicada";"Servicio integral de aseo para las dependencias administrativas y operativas de la Dirección Regional de Aduana Metropolitana";2025-04-09T17:51:49.96;2025-05-05T15:00:00;2025-06-04T15:00:00;;"CLP";0;0
4301-31-LR25;"arriendo de computadores para la municipalidad de";"I MUNICIPALIDAD DE ZAPALLAR";"69.050.400-6";"IMUNI_ ZAPALLAR";"DIEGO SUTIL 285";"Zapallar";"Región de Valparaíso";"LR";"Publicada";"la Ilustre Municipalidad de Zapallar requiere contratar el “Servicio por vía de suministro de arriendo de computadores para la municipalidad de Zapallar”.";2025-04-09T17:27:52.19;2025-05-09T17:35:00;2025-05-30T16:38:00;;"CLP";0;0
852-17-LR25;"CONSTRUCCION JARDIN INFANTIL COSTANERA TEILLIER";"JUNTA NACIONAL DE JARDINES         INFANTILES";"70.072.600-2";"Junji - IX Región";"VICUÑA MACKENNA 914";"Temuco";"Región de la Araucanía";"LR";"Publicada";"La Junta Nacional de Jardines Infantiles (JUNJI), requiere contratar el servicio de “CONSTRUCCION SALA CUNA Y JARDIN INFANTIL COSTANERA JORGE TEILLIER, COMUNA DE TEMUCO”, bajo el sistema de Suma Alzada para materializar las obras descritas en el proyecto de Arquitectura, Estructuras y Especialidades y Especificaciones Técnicas de la presente licitación. Para este efecto, se entenderá Suma Alzada como oferta a precio fijo, en la que las cantidades de obras, cuya determinación corresponde al proponente y los valores unitarios son inamovibles, sin que proceda en consecuencia, pagar mayores obras ejecutadas, ampliar plazos, ni otorgar reajuste de ninguna especie y el precio del contrato comprende el total de la obra cuya ejecución se encomienda.";2025-04-09T16:45:53.05;2025-05-09T17:00:00;2025-06-12T17:30:00;;"CLP";0;0
3706-36-LR25;"Reposición Hogar de Ancianos Comuna San Ignacio";"I MUNICIPALIDAD DE SAN IGNACIO";"69.141.300-4";"Adquisiciones";"MANUEL JESUS ORTIZ 599";"San Ignacio";"Región del Ñuble";"LR";"Publicada";"El proyecto consiste en la contratación en el ítem obras civiles, para la construcción del hogar de ancianos de San Ignacio, donde se proyecta una obra de un piso principalmente en albañilería reforzada, que considera una superficie de intervención de 927,4 m2 con capacidad para 24 residentes. El nuevo recinto contempla las siguientes áreas: -	Zona pública (atención pública, dirección y baños). -	Zona común (salas de actividades, áreas de socialización y permanencia) -	Zona privada (sala descanso personal, dormitorios residentes, baños, enfermería y otros) -	Zona de servicios (cocina, recintos personales, lavandería, bodegas, calderas y otros) -	Extintores (porche, patio cubierto, estacionamiento y áreas verdes).";2025-04-09T16:40:45.72;2025-05-12T15:00:00;2025-06-13T16:00:00;;"CLP";0;0
587-24-LE25;"SELICO 151 EVALUACIÓN PSICOLABORAL";"SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO";"61.801.000-7";"Ministerio de Vivienda y Urbanismo(766)";"";"";"Región Metropolitana de Santiago";"LE";"Publicada";"Servicio de “Evaluación Psicolaboral";2025-04-09T16:38:21.67;2025-05-09T15:10:00;2025-06-24T17:00:00;;"CLF";0;0
359-46-LP25;"ADQ SUMINISTRO FARMACOS CONCOLOGICOS";"Instituto Nacional del Cancer";"61.608.404-6";"Inst Nacional del Cancer Adquisiciones";"Av. Profesor Zañartu 1010, Independencia";"Independencia";"Región Metropolitana de Santiago";"LP";"Publicada";"El Instituto Nacional del Cáncer requiere contratar el suministro de fármacos oncológicos Plan Anual 2025 necesarios para el óptimo funcionamiento de los servicios clínicos";2025-04-09T16:33:00;2025-05-09T16:01:00;2025-06-11T18:00:00;;"CLP";0;0
1019-41-LP25;"ADQUISICIÓN DE EQUIPO DE MEDICIÓN DE CAUDALES MEDIANTE TECNOLOGÍA ACÚSTICA DOPPLER";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO";"Morandé 59, piso 8";"Santiago";"Región Metropolitana de Santiago";"LP";"Publicada";"El objetivo general de esta licitación pública es la adquisición de un Equipo de medición de caudales mediante tecnología acústica Doppler, para mejorar la oportunidad de obtención de datos de caudal en crecidas de los cauces con el fin de ampliar las curvas de descarga de las estaciones y así mejorar la calidad de los datos fluviométricos de la red, de acuerdo con las disposiciones que se especifican en las presentes Bases Técnicas y Administrativas.";2025-04-09T15:37:34.447;2025-04-29T16:00:00;2025-05-15T18:00:00;;"CLP";0;0
1051425-14-LP25;"SUM 7400M3 BASE GRANU CHANC RANQUIL TREHUACO COELE";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"Dirección de Vialidad - Dirección Regional Ñuble";"LAZARETO N° 7";"Chillán";"Región del Ñuble";"LP";"Publicada";"La Dirección de Vialidad Región de Ñuble, solicita ofertas para el “Suministro de 7400 m3 de base granular chancada, puesta sobre plataforma en caminos de la red vial de la Dirección de Vialidad en las comunas de Ranquil, Trehuaco y Coelemu, Provincia de Itata, Región de Ñuble”, conforme a los requerimientos administrativos y técnicos descritos en las presentes Bases de Licitación.";2025-04-09T15:28:28.293;2025-04-29T15:00:00;2025-05-29T17:30:00;150000000;"CLP";0;0
4956-30-LE25;"SOFTWARE Y LICENCIAMIENTO PARA INFRAESTRUCTURA";"I MUNICIPALIDAD DE RENCA";"69.071.200-8";"I MUNICIPALIDAD DE RENCA";"BLANCO ENCALADA 1335";"Renca";"Región Metropolitana de Santiago";"LE";"Publicada";"SOFTWARE Y LICENCIAMIENTO PARA INFRAESTRUCTURA DE CÓMPUTO Y ALMACENAMIENTO";2025-04-09T14:30:22.267;2025-05-02T15:01:00;2025-07-02T17:30:00;;"USD";0;0
4309-115-LP25;"CONV. SUMINISTRO TIMOGLOBULINA 25 MG POLVO LIOFILI";"HOSPITAL GUILLERMO GRANT BENAVENTE DE CO";"61.602.189-3";"Abastecimiento Fármacos";"San Martin 1436";"Concepción";"Región del Biobío";"LP";"Publicada";"TIMOGLOBULINA 25 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE";2025-04-09T16:21:36.737;2025-04-30T15:00:00;2025-07-30T15:00:00;;"CLP";0;0
1261592-26-LR25;"CONVENIO DE SUMINISTRO MEDICAMENTOS";"CORP MUNICIPAL DE DESARROLLO SOCIAL DE A";"71.102.600-2";"UNIDAD TÉCNICA DIRECCIÓN DE SALUD";"AVENIDA ARGENTINA 1595 – II PISO";"Antofagasta";"Región de Antofagasta";"LR";"Publicada";"La presente propuesta tiene como objetivo garantizar el suficiente suministro para tratar a los pacientes de la red asistencial de manera efectiva y segura.";2025-04-09T12:40:54.687;2025-05-09T15:00:00;2025-08-07T15:00:00;;"CLP";0;0
621-340-LQ25;"MASCARILLA O RESPIRADOR DESECHABLE N95 1000020809";"CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD";"61.608.700-2";"Compras del Giro 621";"Bodega Proveedor";"Santiago Centro";"Región Metropolitana de Santiago";"LQ";"Publicada";"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD";2025-04-09T10:10:50.693;2025-04-30T16:00:00;2025-06-02T17:30:00;303483213;"CLP";0;0
2258-86-LR25;"SERVICIO ENFERMERIA CAMA MEDIA BASICA Y PEDIATRIC";"SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L";"61.606.201-8";"Abastecimiento Principal";"Avda Pedro Aguirre Cerda Nª 5900";"Antofagasta";"Región de Antofagasta";"LR";"Publicada";"SERVICIOS ENFERMERIA ATENCION Y CUIDADO INTEGRAL DE PACIENTES CAMAS MEDIAS, BASICA Y PEDIATRICAS el objetivo primordial cumplir con el fin asistencial y servicios apropiados para cumplir con lo instruido por Director del servicio de salud en Oficio nº255, apertura de 30 camas medias en Las diferentes unidades de manera adecuada y eficiente.";2025-04-09T16:20:26.883;2025-05-09T20:00:00;2025-07-08T14:30:00;;"CLP";0;0
800-22-LR25;"KITS IMPLANTES PARA CIRUGIAS DE COLUMNA";"UNIVERSIDAD DE CHILE";"60.910.000-1";"Hospital Clínico Univ. de Chile - Insumos Clínicos";"Dr. Carlos Lorca Tobar 999 (Ex Santos Dumont)";"Independencia";"Región Metropolitana de Santiago";"LR";"Publicada";"SEGÚN LO DISPUESTO EN EL ARTÍCULO 1 DE LAS BASES DE LICITACIÓN ADJUNTAS";2025-04-09T16:16:31.137;2025-05-09T17:00:00;2025-12-04T17:00:00;;"CLP";0;0
1293138-13-LQ25;"ADQ. CARROS APOYO ALIMENTACIÓN";"SERVICIO SALUD METROPOLITANO OCCIDENTE";"61.608.200-0";"EQUIPAMIENTO NUEVO HOSPITAL DE MELIPILLA";"ALAMEDA 2429";"Santiago";"Región Metropolitana de Santiago";"LQ";"Publicada";"ABASTECER Y SUMINISTAR CARROS DE APOYO ALIMENTACIÓN";2025-04-09T16:16:09.177;2025-04-29T15:00:00;2025-08-21T18:00:00;;"CLP";0;0
514862-33-CO25;"Servicios de Gastroendoscopias SLP 10031631";"CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARROLO SOCIAL CORMUP";"71.234.100-9";"CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARRO";"AVDA. ORIENTALES N°6958";"Peñalolén";"Región Metropolitana de Santiago";"CO";"Publicada";"Servicios de Gastroendoscopias SLP 10031631";2025-04-09T15:50:24.543;2025-05-05T15:00:00;2025-06-04T23:59:00;60000000;"CLP";0;0
800-21-LR25;"KITS PARA OSTEOSINTESIS DE FEMUR";"UNIVERSIDAD DE CHILE";"60.910.000-1";"Hospital Clínico Univ. de Chile - Insumos Clínicos";"Dr. Carlos Lorca Tobar 999 (Ex Santos Dumont)";"Independencia";"Región Metropolitana de Santiago";"LR";"Publicada";"SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 1 DE LAS BASES DE LICITACIÓN ADJUNTAS";2025-04-09T15:58:58.467;2025-05-09T17:00:00;2025-12-04T17:00:00;671157025;"CLP";0;0
1019-42-LP25;"ADQUISICIÓN DE EQUIPO GEOFÍSICO PARA PROSPECCIÓN";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO";"Morandé 59, piso 8";"Santiago";"Región Metropolitana de Santiago";"LP";"Publicada";"El objetivo general de esta licitación pública es la adquisición de equipo geofísico para prospección de aguas subterráneas, que permita, mediante el Método de Transiente Electromagnético TEM, medir las propiedades geoeléctricas del suelo, logrando la identificación y caracterización de capas geológicas, en términos de espesor y composición, tanto para profundidades someras como muy profundas. Para ello se necesitan equipos con distintas combinaciones que permitan a la D.G.A. trabajar en distintos proyectos a lo largo del país.";2025-04-09T15:54:48.753;2025-04-29T16:37:00;2025-05-09T19:00:00;120000000;"CLP";0;0
