codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
3976-16-L125;CONTRATAR PLATAFORMA TECNOLOGICA PARA ESCUELA CACIQUE LEVIAN;I MUNICIPALIDAD DE SANTA BARBARA;69.170.201-4;Departamento De Educacion Municipal;Arturo Prat N 121 Santa Bárbara;Santa Bárbara;Región del Biobío;L1;cerradas;CONTRATAR PLATAFORMA TECNOLOGICA PARA ESCUELA CACIQUE LEVIAN DAEM DE LA COMUNA DE SANTA BARBARA;2025-04-09T15:26:28.733;2025-04-16T16:06:00;2025-04-25T16:37:00;1500000;CLP;0;0
2986-25-LE25;Contrato sum. exámenes de endoscopias digestiva;I MUNICIPALIDAD DE LOS LAGOS;69.200.600-3;Unidad de Salud;Arturo Prat N 162;Los Lagos;Región de Los Ríos;LE;cerradas;Contrato de suministro exámenes de endoscopias digestiva alta con biopsia y test de ureasa año 2025, CESFAM Tomás Rojas Vergara.;2025-04-09T15:26:02.173;2025-04-15T16:01:00;2025-04-30T17:33:00;;CLP;0;0
1426397-16-LE25;LHA-Adquisición material especialidades Técnico Profesionales.;Servicio Local de Educación Pública Iquique;61.980.910-6;P02 SUBVENCION GENERAL SLEP IQUIQUE;ESMERALDA # 340 OFICINA 410 IQUIQUE;Iquique;Región de Tarapacá;LE;cerradas;Adquisición de material especialidades construcciones metálicas, metalurgia, mecánica automotriz y mecánica industrial.;2025-04-09T15:19:57.197;2025-04-16T13:00:00;2025-04-30T18:00:00;55727575;CLP;0;0
1058022-4-LE25;ADQUISICIÓN DE MEDICAMENTOS;SERVICIO SALUD BIO BIO HOSPITAL NACIMIENTO;61.602.220-2;Fármarcos;Av. Julio Hemmelmann 711;Nacimiento;Región del Biobío;LE;cerradas;El Hospital Familiar Comunitario de Nacimiento ha recibido solicitudes de adquisiciones N35335 y 34370, emitida por el Unidad de Farmacia, quien solicita se realice la adquisición de medicamentos para stock de bodega de farmacia.;2025-04-09T14:51:25.643;2025-04-15T09:00:00;2025-05-09T16:30:00;;CLP;0;0
1057678-2-LE25;ADQUISICION DE PIN BASE METALICA BROCHE AMERICANO;SERVICIO SALUD METROPOLITANO OCCIDENTE;61.608.200-0;Bienestar;ROMERO 2432;Santiago;Región Metropolitana de Santiago;LE;cerradas;Que, existe la necesidad del Servicio de Salud Metropolitano Occidente de Adquirir PIN Base metálica broche americano para ser entregadas a todos los funcionarios de la Red del Servicio de Salud Metropolitano Occidente con motivo de la Conmemoración del Día Internacional del Trabajador, indicado en el Requerimiento N25-253 del Departamento de Bienestar.;2025-04-09T14:21:45.42;2025-04-15T20:00:00;2025-04-28T18:00:00;;CLP;0;0
1079516-12-LE25;BANDERAS NACIONALES E INSTITUCIONALES;DIRECCION DE LOGISTICA DE CARABINEROS;61.979.360-9;SECCIÓN COMPRAS ZONA DE CARABINEROS VALPARAISO;AV. EL LITORAL NRO. 335, COMUNA DE SANTO DOMINGO;Santo Domingo;Región de Valparaíso;LE;cerradas;ADQUISICIÓN DE BANDERAS NACIONALES E INSTITUCIONALES PARA LA ZONA DE CARABINEROS VALPARAÍSO.;2025-04-09T13:21:07.403;2025-04-15T19:30:00;2025-04-22T17:34:00;20000000;CLP;0;0
4560-17-LE25;SERVICIOS PROFESIONALES MÉDICOS - NEURÓLOGO-PSIQUI;I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL;69.160.401-2;depto. Educación;;;Región del Biobío;LE;cerradas;FONDOS PIE 2025 COORDINACIÓN PIE-SEP ESTABLECIMIENTOS MUNICIPALES DE LA COMUNA CONTRATACIÓN SERVICIOS MÉDICOS NEURÓLOGOPSIQUIATRA.;2025-04-09T13:17:55.6;2025-04-15T16:00:00;2025-04-16T11:00:00;7000000;CLP;0;0
968521-5-LE25;Canulas de alto flujo;SERVICIO DE SALUD DEL MAULE HOSPITAL SAN JAVIER;61.606.912-8;INSUMOS CLINICOS;RIQUELME 1131 - Región del Maule - San Javier;San Javier;Región del Maule;LE;cerradas;ABASTECER DE INSUMOS PARA CANULA NASAL DE ALTO FLUJO A LAS DISTINTAS UNIDADES DEL HOSPITAL DE SAN JAVIER POR UN PERIODO DE 12 MESES SEGÚN LO ESTABLECIDO EN LAS BASES DE LICITACIOJ DEL PRESENTE CONTRATO;2025-04-09T12:41:34.89;2025-04-15T11:08:00;2025-04-28T11:09:00;27000000;CLP;0;0
3443-17-LE25;CARROS DE VENTAS AMBULANTES;I MUNICIPALIDAD DE PURRANQUE;69.210.500-1;Dirección de Administración y Finanzas;Pedro Montt Nro. 249;Purranque;Región de los Lagos;LE;cerradas;CARROS DE VENTAS AMBULANTES para desarrollar la actividad del comercio ambulante en la comuna de Purranque, conforme al detalle de las presentes Bases Administrativas Generales, Especificaciones Técnicas y Anexos.;2025-04-09T13:06:58.233;2025-04-14T16:00:00;2025-05-09T18:00:00;10000000;CLP;0;0
438-28-LE25;ADQUISICION DE INSTRUMENTAL Y MATERIALES DENTALES PARA EL DEPARTAMENTO DE SALUD;I MUNICIPALIDAD DE SAN RAMON;69.253.900-1;Secretaria de Planificación San Ramón;Avenida Ossa 1771;Santiago;Región Metropolitana de Santiago;LE;cerradas;SE SOLICITA LA CONTRATACION DE CONVENIO DE SUMINISTRO DE ADQUISICION INSTRUMENTAL Y MATERIALES DENTALES PARA EL DEPARTAMENTO DE SALUD;2025-04-09T12:34:31.787;2025-04-16T09:00:00;2025-05-16T19:00:00;40000000;CLP;0;0
2440-67-L125;Servicio de Internet para el Establecimiento Educacional Escuela Grecia;I MUNICIPALIDAD DE CURICO;69.100.100-8;Municipalidad de Curicó - Educación - Adquisiciones;;;Región del Maule;L1;cerradas;El Departamento de Administración de Educación Municipal de Curicó requiere contratar, Servicio de Internet para el Establecimiento Educacional Escuela Grecia;2025-04-09T12:20:17.667;2025-04-16T13:26:00;2025-05-08T10:00:00;6500000;CLP;0;0
2440-68-L125;Servicio de Internet para el Establecimiento Educacional Escuela María Inés Rodríguez;I MUNICIPALIDAD DE CURICO;69.100.100-8;Municipalidad de Curicó - Educación - Adquisiciones;;;Región del Maule;L1;cerradas;El Departamento de Administración de Educación Municipal de Curicó requiere contratar, Servicio de Internet para el Establecimiento Educacional Escuela María Inés Rodríguez;2025-04-09T12:21:14.577;2025-04-16T13:14:00;2025-05-07T10:00:00;4500000;CLP;0;0
867990-27-LE25;Servicios de Catering - CDP 82451 CC 102;UNIVERSIDAD DE SANTIAGO DE CHILE;60.911.000-7;Unidad de Coordinación Institucional - UCI;Av. L. Bernardo O Higgins 3363 - Estación Central;Estación Central;Región Metropolitana de Santiago;LE;cerradas;La Universidad de Santiago de Chile requiere servicios de catering para diversas fechas, según lo indicado en el punto II. de Bases Técnicas. CDP 82451 CC 102;2025-04-09T12:03:54.113;2025-04-16T15:00:00;2025-04-21T18:00:00;18000000;CLP;0;0
4707-20-L125;SERVICIO PROFESIONALES ATENCION OFTALMOLOGICA;I MUNICIPALIDAD DE SAN NICOLAS;69.140.802-7;I. MUNICIPALIDAD DE SAN NICOLAS - DEPTO. SALUD;ARTURO PRAT S/N;San Nicolás;Región del Ñuble;L1;cerradas;CANASTA DE ATENCION OFTALMOLOGICA: QUE INCLUYE ATENCION POR MEDICO OFTALMOLOGO O TECNOLOGO MEDICO EN OFTALMOLOGIA EVALUACION INTEGRAL CON ENTREGA DE LUBRICANTES OCULARES EN LOS CASOS NECESARIOS;2025-04-09T11:33:20.207;2025-04-16T19:58:00;2025-05-30T19:59:00;1650000;CLP;0;0
2021-4-LE25;SERV. DE ARRIENDO DE CAMIONETA SIN CONDUCTOR;ESTADO MAYOR CONJUNTO;61.101.040-0;Estado Mayor Conjunto;Zenteno N 45, piso 8,ala sur;Santiago;Región Metropolitana de Santiago;LE;cerradas;El EMCO llama a licitación pública para el servicio de arriendo de camionetas sin conductor para los cursos CECOPAC año 2025, a desarrollarse en el campo de entrenamiento Almirante Félix Aguayo Bastias, Avenida 16 de junio sn, comuna de Concón, V Región;2025-04-09T11:41:16.91;2025-04-16T15:00:00;2025-05-09T19:00:00;;CLP;0;0
4707-22-L125;PROCEDIMIENTOS CUTANEOS MENORES Y BIOPSIAS;I MUNICIPALIDAD DE SAN NICOLAS;69.140.802-7;I. MUNICIPALIDAD DE SAN NICOLAS - DEPTO. SALUD;ARTURO PRAT S/N;San Nicolás;Región del Ñuble;L1;cerradas;PROCEDIMIENTOS CUTANEOS MENORES Y BIOPSIAS;2025-04-09T11:14:16.587;2025-04-16T12:56:00;2025-05-30T12:54:00;5985000;CLP;0;0
528208-29-LE25;PRODUCCION DE EVENTO PARA JOVENES DE CERRO NAVIA;I.MUNICIPALIDAD DE CERRO NAVIA;69.254.200-2;SECPLAC 2;Del Consistorial 6645;Cerro Navia;Región Metropolitana de Santiago;LE;cerradas;Contratar el servicio de producción para evento dirigido a jóvenes de Cerro Navia, a efectuarse el viernes 25 de abril de 2025.;2025-04-09T11:09:58.533;2025-04-14T15:30:00;2025-05-28T17:30:00;;CLP;0;0
3200-6-L125;CONVENIO SUMINISTRO AGUA PURIFICADA DSM LONCOCHE;I MUNICIPALIDAD DE LONCOCHE;69.191.100-4;Departamento de Salud;Manuel Bulnes N 385;Loncoche;Región de la Araucanía;L1;cerradas;El Departamento de Salud Municipal de Loncoche, llama a licitación pública para presentar ofertas a través del portal mercado público www.mercadopublico.cl con el objetivo de asegurar el suministro mensual de agua purificada y arriendo de dispensadores de agua caliente-fría, por veinticuatro meses, para el Establecimiento Departamento de Salud Municipal y Nodos, como Policlínico Pulmahue, Centro de Salud Familiar de Huiscapi y Postas de Salud Rural. Este convenio de suministro tiene la proyección de extenderse por doce meses más previa evaluación del servicio y con acuerdo de ambas partes. Cabe mencionar que, en caso de no continuar con el convenio, o en virtud de continuarlo, se notificará por correo electrónico, al indicado por el oferente en el Anexo 1, con 30 días de anticipación a la fecha de caducidad de este. -;2025-04-09T10:50:55.807;2025-04-15T15:30:00;2025-05-15T15:32:00;;CLP;0;0
5657-1-LE25;ADQUISICIÓN AGROINSUMOS Y AGROQUIMICOS VIVEROS;CORP NACIONAL FORESTAL;61.313.000-4;XIV región - Oficina Regional de Los Rios;Esmeralda 415;La Unión;Región de Los Ríos;LE;cerradas;Adquisición de sustrato, bolsas, agroquímicos y agroinsumos para fortalecimiento de viveros de Los Ríos. E1O2RT9;2025-04-09T10:10:34.657;2025-04-16T15:00:00;2025-04-21T18:00:00;;CLP;0;0
1216083-7-LE25;ADQUISICION DE VESTUARIO TEMPORADA DE INVIERNO;CORPORACION MUNICIPAL DE FOMENTO AL DESARROLLO ECONOMICO Y PRODUCTIVO;65.174.423-7;CORPORACION MUNICIPAL DE FOMENTO AL DESARROLLO ECO;ARGOMEDO 753;Curicó;Región del Maule;LE;revocadas;ADQUISICION DE VESTUARIO DE INVIERNO Y ELEMENTOS DE PROTECCION PERSONAL PARA TRABAJADORES DE AREAS VERDES Y AUXILIARES DE LA CORPORACION MUNICIPAL DE FOMENTO AL DESARROLLO ECONOMICO Y PRODUCTIVO DE CURICO.;2025-04-09T09:21:01.477;2025-04-16T12:00:00;2025-04-22T15:33:00;32725000;CLP;0;0
948806-23-LE25;ADQUISICIÓN DE SISTEMA DE FIJACIÓN DE COLUMNA TORACOLUMBAR MISS EN MODALIDAD DE CONSIGNACIÓN EN TRÁNSITO POR SISTEMA DE SUMINISTRO PARA EL HOSPITAL DIPRECA;FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE;61.513.003-6;Unidad de Compra Insumos en Consignación;Av. Vital Apoquindo N1200;Las Condes;Región Metropolitana de Santiago;LE;cerradas;El Hospital de la Dirección de Previsión de Carabineros de Chile, ubicado en Vital Apoquindo N1.200, Comuna de Las Condes, Región Metropolitana, en adelante EL HOSPITAL, llama a licitación pública para la Adquisición de Sistema de Fijación de Columna Toracolumbar MISS en Modalidad de Consignación en Tránsito, por Sistema de Suministro, en adelante LOS INSUMOS, para un periodo de 36 meses o hasta que se consuma la totalidad del monto contratado, según lo que primero ocurra, para el referido Centro Asistencial, cuyas características y requisitos técnicos constan en las Bases Administrativas y Técnicas de esta licitación con sus respectivos anexos.;2025-04-09T09:42:40.077;2025-04-14T16:00:00;2025-07-14T20:00:00;60000000;CLP;0;0
948806-26-LE25;ADQUISICIÓN DE SISTEMA DE FIJACIÓN DE COLUMNA CERVICAL VÍA POSTERIOR EN MODALIDAD DE CONSIGNACIÓN EN TRÁNSITO POR SISTEMA DE SUMINISTRO PARA EL HOSPITAL DIPRECA;FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE;61.513.003-6;Unidad de Compra Insumos en Consignación;Av. Vital Apoquindo N1200;Las Condes;Región Metropolitana de Santiago;LE;cerradas;El Hospital de la Dirección de Previsión de Carabineros de Chile, ubicado en Vital Apoquindo N1.200, Comuna de Las Condes, Región Metropolitana, en adelante EL HOSPITAL, llama a licitación pública para la Adquisición de Sistema de Fijación de Columna Cervical Vía Posterior en Modalidad de Consignación en Tránsito, por Sistema de Suministro, en adelante LOS INSUMOS, para un periodo de 36 meses o hasta que se consuma la totalidad del monto contratado, según lo que primero ocurra, para el referido Centro Asistencial, cuyas características y requisitos técnicos constan en las Bases Administrativas y Técnicas de esta licitación con sus respectivos anexos.;2025-04-09T09:42:21.097;2025-04-14T16:00:00;2025-07-14T20:00:00;50000000;CLP;0;0
2311-67-L125;COMPRA APÓSITOS FOFAR DROGUERÍA;ILUSTRE MUNICIPALIDAD DE MOLINA;69.110.100-2;Dirección Comunal de Salud;INDEPENDENCIA 1926 MOLINA LADO PDI;Molina;Región del Maule;L1;cerradas;COMPRA APÓSITOS FOFAR DROGUERÍA REFERENTE: NICOLE ACUÑA - EU PATRICIA AREVALO;2025-04-09T08:17:37.583;2025-04-14T20:00:00;2025-04-22T20:00:00;;CLP;0;0
1208099-1-LE25;TEAM BUILDING Y TRANSFERENCIA TECNICA;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;62.000.890-7;DIRECCION REGIONAL METROPOLITANA;Av.Libertador Bernardo OHiggins 1449,Torre 7 Pi.3;Santiago;Región Metropolitana de Santiago;LE;desiertas;Contratar el servicio para la ejecución de las transferencias técnicas que buscan fortalecer las capacidades técnicas y operativas de los equipos de intervención de los organismos colaboradores de la Dirección Regional Metropolitana del Servicio de Protección Especializada a la niñez y adolescencia.;2025-04-09T18:04:20.66;2025-04-15T15:00:00;2025-05-01T18:00:00;9000000;CLP;0;0
1464-30-LE25;Reactivos Laboratorio 2025;SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL;61.606.918-7;Hospital Parral;;;Región del Maule;LE;cerradas;Cotizar insumos y reactivos para el servicio de laboratorio del Hospital de Parral.;2025-04-09T17:49:00.613;2025-04-16T14:00:00;2025-04-24T16:00:00;;CLP;0;0
1058095-73-LE25;COMPRA EXTRA FCIA FOLIOS VARIOS 2 TRIME. 2025 1;COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO;61.608.502-6;Fármarcos;CONCHA Y TORO 3459;Puente Alto;Región Metropolitana de Santiago;LE;cerradas;COTIZAR: PRECIOS UNITARIOS NETOS, SOLO COTIZAR PRODUCTOS CON STOCK PARA DESPACHO INMEDIATO, Y CON VENCIMIENTO MAYOR A 12 MESES, INDICAR FACTOR EMPAQUE EN CADA LÍNEA COTIZADA E INDICAR EL NOMBRE DE LA MARCA OFERTADA.;2025-04-09T17:52:50.8;2025-04-15T10:00:00;2025-04-30T19:48:00;;CLP;0;0
2760-55-LE25;CONVENIO SUMINISTRO PARA TRABAJOS DE MAESTRANZA;I MUNICIPALIDAD DE CORONEL;69.151.200-2;SECRETARIA COMUNAL DE PLANIFICACION;BANNEN 70, CORONEL;Coronel;Región del Biobío;LE;cerradas;CONVENIO SUMINISTRO PARA TRABAJOS DE MAESTRANZA EN VEHICULOS LIVIANOS Y PESADOS;2025-04-09T17:26:11.95;2025-04-15T15:00:00;2025-04-30T18:30:00;12000000;CLP;0;0
886954-154-LE25;Convenio suministro anual de insumos para la Unidad de Cirugía Cardiaca del HGGB 2025;HOSPITAL GUILLERMO GRANT BENAVENTE DE CO;61.602.189-3;Abastecimiento Insumos;San Martin 1436;Concepción;Región del Biobío;LE;cerradas;proveer al HGGB de los insumos necesarios para la atención oportuna de los pacientes;2025-04-09T17:27:40.383;2025-04-15T17:30:00;2025-06-16T17:31:00;50000000;CLP;0;0
3671-26-L125;ACTIVIDADES COMUNITARIAS PRIMER SEMESTRE 2025 QMB RUCAPEQUEN;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;69.266.500-7;Secplan;Ignacio Serrano N 300;Chillán Viejo;Región del Ñuble;L1;cerradas;La I. Municipalidad de Chillán Viejo llama a Licitación Pública a través del Portal Mercado Público, para suscribir contrato ACTIVIDADES COMUNITARIAS QMB RUCAPEQUEN con el fin de contribuir en la revalorización de la identidad local de Rucapequén, generar actividades de esparcimiento enmarcadas en Verano 2025, de acuerdo a las presentes Bases Administrativas y Técnicas. Se pretende obtener la mejor calidad y oportunidad en la prestación de los servicios a un precio conveniente.;2025-04-09T17:15:46.263;2025-04-15T17:00:00;2025-04-21T17:00:00;3738599;CLP;0;0
1113265-5-LE25;SS DE MONITOREO DEL SISTEMA DE ALARMA Y CCTV;CENTRO DE FORMACION TECNICA DE LA REGION DE ANTOFAGASTA;62.000.770-6;UNIDAD DE COMPRAS;RIQUELME 4259, VILLA AYQUINA;Calama;Región de Antofagasta;LE;cerradas;El Centro de Formación Técnica Estatal de La Región de Antofagasta en su compromiso con resguardar y optimizar los recursos públicos requiere contratar servicios de monitoreo del sistema de alarma y de un circuito cerrado de televisión para el resguardo de instalaciones y velando por la seguridad e integridad de la comunidad de la institución.;2025-04-09T17:15:25.1;2025-04-16T18:39:00;2025-05-02T23:59:00;8000000;CLP;0;0
3945-11-LE25;CONTRATACION SERVICIO DE RADIODIFUSION PARA TRANSMITIR PROGRAMA INFORMATIVO COMUNAL MUNICIPALIDAD LOS ALAMOS;I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL;69.160.400-4;Administración y Finanzas;Libertad N300;Los Alamos;Región del Biobío;LE;cerradas;La necesidad de contratar servicio de radiodifusión comunal, destinado a la transmisión de programa informativo semanal, frases informativas (grabación, edición, programación y transmisión), contactos telefónicos y la transmisión radial de actividades municipales, de conformidad a las Especificaciones técnicas adjuntas a las presentes Bases Administrativas y anexos adjuntos.;2025-04-09T17:05:23.137;2025-04-16T15:01:00;2025-04-21T17:00:00;7200000;CLP;0;0
2778-20-LE25;TARJETA DE ALIMENTACION PARA ESTABLECIMIENTOS EDUCACIONALES MUNICIPALES DE RENGO;I MUNICIPALIDAD DE RENGO;69.081.200-2;ADQUISICION MUNI-EDUCACION;SERRANO 450- COMUNA DE RENGO.;Chépica;Región del Libertador General Bernardo OHiggins;LE;cerradas;ADQUISICION DE TARJETAS DE ALIMENTACION NO PERSONALIZADAS PARA ESTABLECIMIENTOS EDUCACIONALES MUNICIPALES DE LA COMUNA DE RENGO;2025-04-09T17:09:23.66;2025-04-15T17:30:00;2025-05-16T18:00:00;;CLP;0;0
438-32-LE25;CONTRATO DE SUMINISTRO DE EXAMENES DE ECOTOMOGRAFIAS MAMARIAS;I MUNICIPALIDAD DE SAN RAMON;69.253.900-1;Secretaria de Planificación San Ramón;Avenida Ossa 1771;San Ramón;Región Metropolitana de Santiago;LE;cerradas;ESTA PROPUESTA CONSISTE EN CONTRATAR LOS SUMINISTROS DE EXAMENES DE ECOTOMOGRAFIAS MAMARIAS;2025-04-09T17:02:07.217;2025-04-16T09:00:00;2025-05-16T19:00:00;12150000;CLP;0;0
3638-19-CO25;Arriendo Excavadora Para Vertedero Municipal;I.MUNICIPALIDAD DE PORVENIR;69.250.300-7;Administracion y Finanzas Municipal;Padre Mario Zavattaro N434, Porvenir;Porvenir;Región de Magallanes y de la Antártica;CO;desiertas;Arriendo Excavadora para vertedero municipal, según lo establece las especificaciones técnicas;2025-04-09T17:05:18.947;2025-04-15T15:00:00;2025-04-21T17:33:00;13200000;CLP;0;0
1057506-11-LE25;SERVICIO ODONTOLÓGICOS DE ENDODONCIAS H. COELEMU;SERVICIO NACIONAL DE SALUD HOSPITAL DE COELEMU;61.602.194-K;Bienes y Servicios;dipresrecepcion@custodium.com;Coelemu;Región del Ñuble;LE;cerradas;El Hospital de Coelemu requiere contratar Servicio de Profesional Odontólogo Especialista en Endodoncia para realizar 75 endodoncias de piezas anteriores y premolares a beneficiarios de 15 o más años del Hospital Comunitario de Salud Familiar de Coelemu, Cesfam Trehuaco y DESAMU Coelemu según características y detalle indicado en bases técnicas del proceso.;2025-04-09T16:49:59.877;2025-04-15T09:00:00;2025-04-22T18:36:00;7651425;CLP;0;0
