codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
3453-22-LE25;ADQUISICION GORRAS DE PARADA MASCULINAS Y FEMENINA;DIRECCION DE LOGISTICA DE CARABINEROS;61.979.960-7;Escuela de Formación Policial de Carabineros;AVDA PEDRO AGUIRRE CERDA N6655;Cerrillos;Región Metropolitana de Santiago;LE;Publicada;ADQUISICIÓN DE GORRAS DE PARADA MASCULINAS Y FEMENINAS PARA LOS CARABINEROS ALUMNOS DE LA ESCUELA DE FORMACIÓN DE CARABINEROS.;2025-04-09T18:18:41.463;2025-04-21T15:01:00;2025-05-14T20:00:00;;CLP;0;0
1057389-49-LP25;INTERVENCIONES QUIRURGICAS DE PROTESIS DE RODILLA;SERVICIO SALUD ARAUCANIA NORTE HOSPITAL VICTORIA;61.602.229-6;Bienes y Servicios;Avda Dartnell N1100;Victoria;Región de la Araucanía;LP;Publicada;El Hospital San José de Victoria requiere contratar equipo quirúrgico, para la Resolución quirúrgica de patologías asociadas a rodillas, las cuales serán proporcionados a través de la Unidad de Gestión de Demanda.;2025-04-09T17:55:27.527;2025-04-29T18:00:00;2025-08-29T18:00:00;;CLP;0;0
2678-6-LE25;MATERIALES Y UTILES ESCOLARES AÑO 2025- MOSTAZAL;I MUNICIPALIDAD DE MOSTAZAL;69.080.500-6;Departamento de Educación;DAEM MOSTAZAL Calle Riquelme 65. Esquina de referencia: San Guillermo con Riquelme;Mostazal;Región del Libertador General Bernardo OHiggins;LE;Publicada;SE REQUIERE DE LA ADQUISICIÓN DE UTILES Y MATERIALES ESCOLARES PARA LOS ESTABLECIMIENTOS EDUCACIONALES DE LA COMUNA DE MOSTAZAL QUE ESTÁN INCLUIDOS EN LA PRESENTE LICITACIÓN. ESTOS MATERIALES VAN EN APOYO DIRECTO DE LOS ESTUDIANTE QUE INTEGRAN CADA ESTABLECIMIENTO EDUCATIVO DE LA COMUNA.;2025-04-09T17:54:50.3;2025-04-14T19:00:00;2025-04-25T17:00:00;;CLP;0;0
1058078-20-LE25;Compra de Frasco Humificador Apósito de Espuma y Malla Propileno para el Hospital San José de Melipilla;Hospital de Melipilla;61.602.123-0;Fármarcos;;;Región Metropolitana de Santiago;LE;Publicada;El Hospital San José de Melipilla invita a los oferentes, personas naturales o jurídicas, a participar en la licitación pública de adquisición de Frasco Humificador, Apósito de Espuma y Malla Propileno;2025-04-09T17:38:31.77;2025-04-21T17:00:00;2025-06-21T17:00:00;;CLP;0;0
2704-19-LP25;SC 681 ADQUISICIÓN DE EQUIPAMIENTO TECNOLÓGICO;UNIVERSIDAD DEL BIO BIO;60.911.006-6;Universidad del Bío-Bío - Campus Concepción;;;Región del Biobío;LP;Publicada;APRUEBA BASES ADMINISTRATIVAS, BASES TÉCNICAS Y DOCUMENTOS ANEXOS PARA LICITACIÓN PÚBLICA DENOMINADA ADQUISICIÓN DE EQUIPAMIENTO TECNOLÓGICO PARA LA UNIVERSIDAD DEL BÍO-BÍO, CAMPUS CONCEPCIÓN;2025-04-09T17:38:36.94;2025-04-29T20:00:00;2025-05-22T18:00:00;111300000;CLP;0;0
1298354-7-LE25;Arriendo de Camión de Transporte.;CORP MUNICIPAL MELIPILLA PARA LA ED SALUD;71.293.900-1;EDUCACION;pasaje Eleuterio Ramirez S/n;Melipilla;Región Metropolitana de Santiago;LE;Publicada;La contratación tiene por objetivo contar con el servicio de arriendo de camión de transporte, para el traslado de personal, herramientas y materiales, para dar mantenimiento a los distintos establecimientos educacionales dependientes de la Corporación Municipal de Melipilla, a fin de mantener en buen estado las instalaciones de dichas casas de estudio.;2025-04-09T17:40:10.613;2025-04-14T18:01:00;2025-04-30T18:00:00;;CLP;0;0
886954-119-LP25;Convenio en consignación de Set Desfibrilador Automático Implantable Bicameral con equipo en comodato para la Unidad de Electrofisiología HGGB;HOSPITAL GUILLERMO GRANT BENAVENTE DE CO;61.602.189-3;Abastecimiento Insumos;San Martin 1436;Concepción;Región del Biobío;LP;Publicada;La necesidad de abastecer del insumo para la atención oportuna del paciente;2025-04-09T17:19:14.05;2025-04-29T15:34:00;2025-04-30T15:35:00;329000000;CLP;0;0
2366-12-LE25;INSUMOS PARA TOMA MUESTRA - MEMO 1496 LABORATORIO;I MUNICIPALIDAD DE ARICA;69.010.100-9;SERVICIO MUNICIPAL DE SALUD;Patricio Lynch N 236;Arica;Región de Arica y Parinacota;LE;Publicada;INSUMOS PARA TOMA MUESTRA - MEMO 1496 LABORATORIO;2025-04-09T17:14:06.733;2025-04-17T17:00:00;2025-09-15T16:42:00;;CLP;0;0
3976-18-L125;BATERIAS PSICOPEDAGOGICAS PARA ESCUELA CACIQUE LEVIAN;I MUNICIPALIDAD DE SANTA BARBARA;69.170.201-4;Departamento De Educacion Municipal;Arturo Prat N 121 Santa Bárbara;Santa Bárbara;Región del Biobío;L1;Publicada;BATERIAS PSICOPEDAGOGICAS PARA EVALUACION DIAGNOSTICA INTEGRAL DE LOS ALUMNOS ESCUELA CACIQUE LEVIAN DAEM DE LA COMUNA DE SANTA BARBARA;2025-04-09T17:37:45.82;2025-04-16T17:29:00;2025-04-28T17:30:00;1350000;CLP;0;0
564953-61-LP25;SERVICIO DE ANIVERSARIO 2025 PARA CORP LAS CONDES;Corporación de Educación y Salud de Las Condes;70.902.000-5;Corporación de Educación y Salud de Las Condes;RIO LOA 8350 (360 RAM);Las Condes;Región Metropolitana de Santiago;LP;Publicada;El objetivo de este proceso de licitación es contratar los servicios necesarios para la realización de la Cena Aniversario de la Corporación de Educación y Salud de Las Condes.;2025-04-09T16:54:58.99;2025-04-30T18:00:00;2025-05-05T17:00:00;;CLP;0;0
2146-14-LE25;Convenio Mant. Autoclave Hospital de Andacollo;SERVICIO DE SALUD COQUIMBO HOSPITAL DE ANDACOLLO;61.606.405-3;Hosp. Andacollo;Urmeneta N2, Andacollo, IV Región;Andacollo;Región de Coquimbo;LE;Publicada;La presente licitación tiene como objetivo principal establecer Compra de servicios para Mantenciones de Autoclave Steelco VS 3/1, planta de agua, compresor y bomba impulsora hydropack, hasta el 31 de diciembre del 2026. Obteniendo así un funcionamiento óptimo y continuo del servicio, que deberá satisfacer con estándares de calidad y de forma oportuna a las necesidades del hospital. Requerido mediante solicitud de compra N 81 de fecha 27 de febrero de 2025, emitido por encargado de equipos médicos.;2025-04-09T16:50:51.777;2025-04-21T15:05:00;2025-05-23T21:36:00;19000000;CLP;0;0
2981-43-LE25;MOTOR FUERA DE BORDA;POLICIA DE INVESTIGACIONES DE CHILE;60.506.000-5;DEPARTAMENTO ADMINISTRATIVO;GENERAL MACKENNA 1370, Secc. Almacenes;Santiago Centro;Región Metropolitana de Santiago;LE;Publicada;ADQUISICION DE 1 MOTOR FUERA DE BORDA PARA DEOSUB;2025-04-09T17:04:20.2;2025-04-23T12:00:00;2025-05-06T19:00:00;17000000;CLP;0;0
3660-5-LP25;SERVICIO DE TRANSPORTE ESCOLAR 2025;I MUNICIPALIDAD DE PETORCA;69.050.500-2;Departamento de Educación;Comercio N36, Hierro Viejo;Petorca;Región de Valparaíso;LP;Publicada;La Ilustre Municipalidad de Petorca, a través del Departamento de Administración de Educación Municipal, persigue resguardar los intereses municipales y satisfacer la necesidad de contratar el servicio de Transporte Escolar. Dicha prestación es requerida para trasladar a los estudiantes de los establecimientos educacionales, lactantes y párvulos del Jardín y Sala Cuna Lamparita de Petorca, provenientes de diferentes sectores rurales y urbanos de la comuna de Petorca, hasta los diferentes establecimientos educacionales de la comuna, que cursan la enseñanza básica y lactante de nivel sala cuna y medio mayor.;2025-04-09T16:52:31.17;2025-04-29T11:11:00;2025-04-30T11:12:00;;CLP;0;0
2505-1-LE25;SERVICIO OFTALMOLOGICO Y LENTES OPTICOS 2025;I MUNICIPALIDAD DE RIO CLARO;69.110.700-0;DIRECCION DE SALUD MUNICIPAL;CASIMIRO SEPULVEDA N1 CUMPEO;Río Claro;Región del Maule;LE;Publicada;SE REQUIERE LA ADQUISICION DE SERVCIO DE ATENCION DE TECNOLOGO MEDICO JUNTO CON LA ADQUISICION DE LENTES OPTICOS PARA USUARIOS DEL DEPARTAMENTO DE SALUD DE RIO CLARO, SEGUN BASES ADJUNTAS.;2025-04-09T16:48:43.07;2025-04-21T15:05:00;2025-04-30T17:00:00;16067227;CLP;0;0
1057370-12-LQ25;Servicio Dispositivo Comunitario Hogar Protegido;HOSPITAL PSIQUIATRICO DR. PHILIPPE PINEL PUTAENDO;61.602.040-4;Bienes y Servicios;José Antonio Salinas N 2.500;Putaendo;Región de Valparaíso;LQ;Publicada;La necesidad del Hospital Psiquiátrico Dr. Philippe Pinel de realizar un CONVENIO DE PRESTACIÓN DE SERVICIO PARA LA ATENCION DE PERSONAS CON DISCAPACIDAD PSIQUICA YO INTELECTUAL, USUARIOS DE LA RED DE SALUD MENTAL DEL SERVICIO DE SALUD ACONCAGUA EN MODALIDAD DE HOGAR PROTEGIDO.;2025-04-09T16:40:28.523;2025-04-29T17:46:00;2025-05-15T19:00:00;;CLP;0;0
3709-33-LE25;ADQUISICIÓN DE GASES INDUSTR Y ARREN DE CILINDROS;I MUNICIPALIDAD DE VICTORIA;69.180.900-5;Educación;PISAGUA 695;Victoria;Región de la Araucanía;LE;Publicada;La municipalidad de Victoria a través del Departamento de Educación requiere la compra de adquisición de gases industriales y arrendamiento de cilindros para las clases de especialidad, Mecánica Industrial y Construcciones Metálicas para el Liceo Politécnico Manuel Montt de la comuna de Victoria.;2025-04-09T16:47:50.513;2025-04-21T15:05:00;2025-05-22T17:29:00;18000000;CLP;0;0
438-31-LE25;CONTRATO DE SUMINISTRO SERVICIO DE IMAGENOLOGIA ECOTOMOGRAFIA ABDOMINAL;I MUNICIPALIDAD DE SAN RAMON;69.253.900-1;Secretaria de Planificación San Ramón;Avenida Ossa 1771;San Ramón;Región Metropolitana de Santiago;LE;Publicada;ESTA PROPUESTA CONSISTE EN CONTRATAR LOS SUMINISTROS DE SERVICIO DE IMAGENOLOGIA, ECOTOMOGRAFIA ABDOMINAL;2025-04-09T16:39:45.88;2025-04-15T09:00:00;2025-05-15T19:55:00;23985000;CLP;0;0
621921-7-LQ25;Equipos Radio PTT Satelital;COMANDO DE APOYO A LA FUERZA;61.979.900-3;Jefatura de Comunicaciones - JEFCOM;Av. Las Perdices N 700;Peñalolén;Región Metropolitana de Santiago;LQ;Publicada;busca adquirir 36 equipos con los accesorios que se detallan en las bases técnicas, para ser utilizados en Macro Zona Sur.;2025-04-09T16:39:44.017;2025-04-21T15:30:00;2025-04-30T20:00:00;;CLP;0;0
2928-9-LQ25;PROGRAMA COMPOSTAJE DOMICILIARIO COMUNA QUELLÓN;Ilustre Municipalidad De Quellón;69.230.700-3;SECPLAN;22 DE Mayo 203;Quellón;Región de los Lagos;LQ;Publicada;Disminuir la disposición final de residuos organismos de las localidades tanto rurales como urbanas.;2025-04-09T16:37:38.007;2025-04-29T14:00:00;2025-05-30T14:30:00;239785000;CLP;0;0
591-5-LE25;Adquisición de Licencias de Software para FONASA;FONDO NACIONAL DE SALUD;61.603.000-0;FONASA, Nivel Central;;;Región Metropolitana de Santiago;LE;Publicada;La presente licitación tiene por objeto proveer de licencias Autodesk, Autodesk AutoCAD, Adobe Creative Cloud para satisfacer las necesidades operativas y funcionales relacionadas con el diseño constructivo y comunicacional de sucursales y oficinas del Fondo Nacional de Salud.;2025-04-09T16:37:20.867;2025-04-21T16:00:00;2025-04-25T16:00:00;32000000;CLP;0;0
1051765-2-LE25;CET San Carlos Pan y derivados;DIRECCION GENERAL DE GENDARMERIA DE CHIL;62.000.570-3;Región de Ñuble;Camino a Penco N 450. Concepción;Concepción;Región del Ñuble;LE;Publicada;Que, Gendarmería de Chile Centro de Educación y Trabajo San Carlos, requiere contratar proveedor para CONVENIO DE SUMINITRO DE PAN CORRIENTE, EMPANADAS DE HORNO Y PAN DE PASCUA, PARA PERSONAL E INTERNOS DEL C.E.T SAN CARLOS AÑO 2025. (E1O2RT9);2025-04-09T16:23:45.697;2025-04-22T16:00:00;2025-05-28T16:00:00;8000000;CLP;0;0
3841-13-LE25;Contratación de Servicios para Ejecución Programa Habitabilidad 2024 Pemuco;I MUNICIPALIDAD DE PEMUCO;69.141.600-3;I MUNICIPALIDAD DE PEMUCO;San Martín 498;Pemuco;Región del Ñuble;LE;Publicada;Se requieren empresas contratistas para la ejecución de obras para beneficiarios del programa habitabilidad de la comuna de Pemuco;2025-04-09T16:20:39.313;2025-04-21T15:30:00;2025-04-23T17:00:00;21390005;CLP;0;0
2677-14-LE25;EXÁMENES MAMOGRÁFICOS EN CLÍNICA MÓVIL;I MUNICIPALIDAD DE MOSTAZAL;69.080.500-6;Departamento de Salud;LUCO 400;Mostazal;Región del Libertador General Bernardo OHiggins;LE;Publicada;Las presentes Bases de Licitación, reglamentan el proceso de llamado a Licitación Pública para la contratación del suministro de servicios de exámenes de imagenología específicos para la detección precoz y oportuna de cáncer de mama mediante Mamografías Bilaterales, Compresiones yo Magnificaciones placas complementarias, en Clínica Móvil equipada para dicha actividad y que realizará operativos dentro de la comuna de Mostazal durante el año 2025, de acuerdo a Convenio Programa Imágenes Diagnósticas en Atención Primaria de Salud emanado desde el Servicio de Salud OHiggins, denominada Exámenes Mamográficos en Clínica Móvil dependiente del Departamento de Salud de la Municipalidad de Mostazal.;2025-04-09T16:23:31.31;2025-04-16T16:30:00;2025-04-30T17:00:00;;CLP;0;0
3797-25-LE25;ARRIENDO DE VEHICULO 4 X 4 ALCALDIA COCHRANE;I MUNICIPALIDAD DE COCHRANE;69.254.500-1;I MUNICIPALIDAD DE COCHRANE;calle esmeralda 398;Cochrane;Región Aysén del General Carlos Ibáñez del Campo;LE;Publicada;Que, que, para el correcto desempeño de sus funciones, y en lo que dice relación con el desplazamiento seguro tanto dentro de la comuna como hacia y desde los sectores rurales, la municipalidad de Cochrane requiere de un vehículo 4 x 4 que le permita facilitar sus labores de supervisión y atención a las necesidades de la comunidad.;2025-04-09T16:18:27.55;2025-04-21T15:08:00;2025-04-24T15:09:00;;CLP;0;0
3436-35-LQ25;Ajuar ingreso alumnos capotes CC 1100065012;COMANDO DE APOYO A LA FUERZA;61.101.027-3;Escuela de Suboficiales - ESCSOF;Rinconada de Maipú S/N;Maipú;Región Metropolitana de Santiago;LQ;Publicada;Adquisición de capotes para implementar el ajuar de ingreso de los alumnos;2025-04-09T16:18:43.473;2025-04-28T15:05:00;2025-05-19T17:29:00;195909000;CLP;0;0
604944-2-LE25;SERVICIOS DE CAPACITACIÓN ESTRATÉGICOS POR LÍNEA;SUBSECRETARIA DE DEFENSA;61.979.870-8;Subsecretaría de Defensa;Zenteno N 45, Quinto Piso;Santiago;Región Metropolitana de Santiago;LE;Publicada;El contenido de las presentes Bases, se refiere a la propuesta pública, para adquirir los siguientes servicios de capacitación para la Subsecretaría de Defensa: Diplomado Unión Europea y Chile. Diplomado Gobernanza en Ciberseguridad. Curso Aplicación Inteligencia Artificial. Diplomado Gestión de Proyectos. Diplomado Preparación, Evaluación y Gestión de Proyectos. Diplomado en Políticas Públicas. Diplomado en Compras Públicas: Nueva Normativa. Curso China: Negocios y Relaciones Internacionales. Diplomado Medio ambiente. Lo anterior, de conformidad con lo establecido en el Plan Anual de Capacitación de la Subsecretaría de Defensa, la Ley N 19.886 de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios y su Reglamento, aprobado por el D.S. N 661, de 2024, del Ministerio de Hacienda, y cumpliendo lo establecido en las bases técnicas del presente proceso licitatorio.;2025-04-09T16:19:36.23;2025-05-06T15:01:00;2025-05-28T23:59:00;;CLP;0;0
1114-16-LE25;CONSERV. DE EST. RIO YESO ENTRADA EMBALSE YESO;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;61.202.000-0;Dirección General de Aguas - Región Metropolitana;Bombero Salas 1351, 5 piso;Santiago;Región Metropolitana de Santiago;LE;Publicada;CONSERVACIÓN DE ESTACIONES, RIO YESO ENTRADA EMBALSE EL YESO, RÍO ANGOSTURA EN VALDIVIA DE PAINE, ESTACIÓN ESTERO ARRAYAN EN LA MONTOSA;2025-04-09T16:14:13.993;2025-04-29T15:00:00;2025-05-14T15:00:00;9000000;CLP;0;0
1057539-83-LQ25;SER.MEDICOS NEUROQUIRURGICO DE URGENCIA;HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI;61.975.100-0;Bienes y Servicios;;;Región de los Lagos;LQ;Publicada;ADQUISICIÓN DE SERVICIOS MEDICOS DE CIRUGÍAS NEUROQUIRÚRGICA DE URGENCIA;2025-04-09T16:10:38.963;2025-04-29T15:00:00;2025-08-29T15:00:00;174304725;CLP;0;0
3336-6-LE25;CONSTRUCCION PARADERO PEATONAL LOS CASTAÑOS;I MUNICIPALIDAD DE LA UNION;69.200.800-6;Dirección de SECPLA;Arturo Prat 680;La Unión;Región de Los Ríos;LE;Publicada;CONSTRUCCION DE PARADERO EN EL SECTOR ALTO LOS CASTAÑOS;2025-04-09T16:16:23.47;2025-04-21T16:00:00;2025-04-24T16:00:00;;CLP;0;0
3656-73-LE25;SUMINISTRO ARRIENDO DE MOTONIVELADORA;I MUNICIPALIDAD DE REQUINOA;69.081.300-9;Ilustre Municipalidad de Requínoa;Comercio 121, Municipalidad;Requinoa;Región del Libertador General Bernardo OHiggins;LE;Publicada;SUMINISTRO ARRIENDO DE MOTONIVELADORA;2025-04-09T16:01:37.327;2025-04-21T15:01:00;2025-05-23T18:00:00;;CLP;0;0
2961-22-LE25;MATERIALES DE FERRETERIA;I MUNICIPALIDAD DE LA GRANJA;69.072.400-6;Adquisicion Municipal;AV. AMERICO VESPUCIO 2;La Granja;Región Metropolitana de Santiago;LE;Publicada;SC 4 SP 265 SERVICIOS GENERALES IDDOC 756362 CUENTA 2153102004260;2025-04-09T16:07:21.183;2025-04-16T16:00:00;2025-04-30T15:00:00;8700000;CLP;0;0
1291-15-LE25;ADQUISICIÓN CONVENIO DE TRANSPORTE DE PERSONAL;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;61.202.000-0;Dirección de Vialidad - VII Región - Provincia de Linares;Linares;Linares;Región del Maule;LE;Publicada;ADQUISICIÓN DE TRANSPORTE DE PERSONAL PARA FAENAS DE ROCE DE CAMINOS PÚBLICOS BAJO LA MODALIDAD DE ADMINISTRACIÓN DIRECTA, DE LA DIRECCIÓN PROVINCIAL DE VIALIDAD LINARES REGIÓN DEL MAULE;2025-04-09T15:54:26.437;2025-04-21T16:00:00;2025-05-26T17:00:00;;CLP;0;0
3326-27-LE25;ADQUISICIÓN DE REPUESTOS PARA VEHÍCULOS MARCA NISSAN MODELO XTRAIL AÑO 2019 EN ADELANTE DE CARGO DE CARABINEROS DE CHILE SEGÚN BASES ADMINISTRATIVAS Y TÉCNICAS;DIRECCION DE LOGISTICA DE CARABINEROS;61.938.500-4;Depto.Transportes L.3;Vivaceta Nro. 2700;Independencia;Región Metropolitana de Santiago;LE;Publicada;ADQUISICIÓN DE REPUESTOS PARA VEHÍCULOS MARCA NISSAN, MODELO XTRAIL, AÑO 2019 EN ADELANTE, DE CARGO DE CARABINEROS DE CHILE, SEGÚN BASES ADMINISTRATIVAS Y TÉCNICAS;2025-04-09T15:58:30.51;2025-04-24T15:25:00;2025-05-30T20:00:00;29430000;CLP;0;0
2986-26-LE25;Contrato sum. atenciones otorrinolaringologicas;I MUNICIPALIDAD DE LOS LAGOS;69.200.600-3;Unidad de Salud;Arturo Prat N 162;Los Lagos;Región de Los Ríos;LE;Publicada;Contrato de suministro atenciones otorrinolaringologicas integrales para el programa resolutividad año 2025. CESFAM Tomás Rojas Vergara;2025-04-09T16:06:50.853;2025-04-16T17:33:00;2025-04-29T17:34:00;;CLP;0;0
3637-13-LE25;PÓLIZA DE SEGURO PARA LOS BIENES INMUEBLES;ILUSTRE MUNICIPALIDAD DE SAN GREGORIO;69.251.500-5;Municipalidad de San Gregorio - Adquisiciones;Av. Bernardo O`Higgins N 50, Punta Delgada;San Gregorio;Región de Magallanes y de la Antártica;LE;Publicada;Se convoca a Licitación Pública para la Contratación de una Póliza de Seguro para los siguientes bienes inmuebles fiscales y sus contenidos pertenecientes a la Ilustre Municipalidad de San Gregorio y bienes muebles como también 4 grupos electrógenos;2025-04-09T15:52:24.913;2025-04-15T12:00:00;2025-04-17T18:44:00;14000000;CLP;0;0
